date,vaccgroup_zh,ncumul_firstvacc,ncumul_secondvacc
2021-01-25,C,3079,2
2021-01-25,D,1142,0
2021-01-25,E,491,0
2021-01-25,F,1910,0
2021-01-25,G,4215,1
2021-01-25,H,31,0
2021-01-25,I,27,0
2021-01-25,K,10,0
2021-01-25,L,2,0
2021-01-25,M,312,0
2021-01-25,N,156,0
2021-01-25,O,1,0
2021-01-25,Q,0,0
2021-01-25,R,0,0
2021-01-25,S,0,0
2021-01-25,T,0,0
2021-01-25,NA,3,0
2021-01-26,A,16971,78
2021-01-26,B,1128,75
2021-01-26,C,3489,60
2021-01-26,D,1388,0
2021-01-26,E,654,0
2021-01-26,F,1921,1
2021-01-26,G,4532,3
2021-01-26,H,42,0
2021-01-26,I,33,0
2021-01-26,K,18,0
2021-01-26,L,12,0
2021-01-26,M,345,0
2021-01-26,N,163,0
2021-01-26,O,1,0
2021-01-26,Q,0,0
2021-01-26,R,0,0
2021-01-26,S,0,0
2021-01-26,T,0,0
2021-01-26,NA,3,0
2021-01-27,A,19804,146
2021-01-27,B,1178,143
2021-01-27,C,4180,109
2021-01-27,D,1793,1
2021-01-27,E,861,1
2021-01-27,F,1936,3
2021-01-27,G,5219,5
2021-01-27,H,46,0
2021-01-27,I,38,0
2021-01-27,K,39,0
2021-01-27,L,22,0
2021-01-27,M,412,0
2021-01-27,N,215,0
2021-01-27,O,1,0
2021-01-27,Q,0,0
2021-01-27,R,0,0
2021-01-27,S,0,0
2021-01-27,T,0,0
2021-01-27,NA,4,0
2021-01-28,A,22490,245
2021-01-28,B,1189,205
2021-01-28,C,4766,158
2021-01-28,D,2089,1
2021-01-28,E,1036,1
2021-01-28,F,1966,4
2021-01-28,G,6390,6
2021-01-28,H,73,0
2021-01-28,I,69,0
2021-01-28,K,51,0
2021-01-28,L,28,0
2021-01-28,M,427,1
2021-01-28,N,229,0
2021-01-28,O,2,0
2021-01-28,Q,0,0
2021-01-28,R,1,0
2021-01-28,S,0,0
2021-01-28,T,0,0
2021-01-28,NA,6,0
2021-01-29,A,25219,344
2021-01-29,B,1237,255
