date,ageclass,gender,ncumul_firstvacc,ncumul_secondvacc
2021-01-15,20-29,m,67,0
2021-01-15,30-39,d,0,0
2021-01-15,30-39,f,193,0
2021-01-15,30-39,m,214,0
2021-01-15,40-49,d,0,0
2021-01-15,40-49,f,171,0
2021-01-15,40-49,m,173,0
2021-01-15,50-59,d,0,0
2021-01-15,50-59,f,163,1
2021-01-15,50-59,m,198,0
2021-01-15,60-69,d,0,0
2021-01-15,60-69,f,204,1
2021-01-15,60-69,m,294,0
2021-01-15,70-79,d,0,0
2021-01-15,70-79,f,455,0
2021-01-15,70-79,m,655,0
2021-01-15,80+,d,0,0
2021-01-15,80+,f,1155,0
2021-01-15,80+,m,1320,0
2021-01-15,NA,d,0,0
2021-01-15,NA,f,0,0
2021-01-15,NA,m,0,0
2021-01-16,0-9,d,0,0
2021-01-16,0-9,f,0,0
2021-01-16,0-9,m,0,0
2021-01-16,10-19,d,0,0
2021-01-16,10-19,f,4,0
2021-01-16,10-19,m,2,0
2021-01-16,20-29,d,0,0
2021-01-16,20-29,f,144,0
2021-01-16,20-29,m,90,0
2021-01-16,30-39,d,0,0
2021-01-16,30-39,f,294,0
2021-01-16,30-39,m,268,0
2021-01-16,40-49,d,0,0
2021-01-16,40-49,f,218,0
2021-01-16,40-49,m,199,0
2021-01-16,50-59,d,0,0
2021-01-16,50-59,f,196,1
2021-01-16,50-59,m,226,0
2021-01-16,60-69,d,0,0
2021-01-16,60-69,f,223,1
2021-01-16,60-69,m,306,0
2021-01-16,70-79,d,0,0
2021-01-16,70-79,f,457,0
2021-01-16,70-79,m,658,0
2021-01-16,80+,d,0,0
2021-01-16,80+,f,1158,0
2021-01-16,80+,m,1323,0
2021-01-16,NA,d,0,0
2021-01-16,NA,f,0,0
2021-01-16,NA,m,0,0
2021-01-17,0-9,d,0,0
2021-01-17,0-9,f,0,0
2021-01-17,0-9,m,0,0
2021-01-17,10-19,d,0,0
2021-01-17,10-19,f,4,0
2021-01-17,10-19,m,2,0
2021-01-17,20-29,d,0,0
2021-01-17,20-29,f,144,0
2021-01-17,20-29,m,90,0
2021-01-17,30-39,d,0,0
2021-01-17,30-39,f,294,0
2021-01-17,30-39,m,268,0
2021-01-17,40-49,d,0,0
2021-01-17,40-49,f,218,0
2021-01-17,40-49,m,199,0
2021-01-17,50-59,d,0,0
2021-01-17,50-59,f,196,1
2021-01-17,50-59,m,226,0
2021-01-17,60-69,d,0,0
2021-01-17,60-69,f,223,1
2021-01-17,60-69,m,306,0
2021-01-17,70-79,d,0,0
2021-01-17,70-79,f,458,0
2021-01-17,70-79,m,658,0
2021-01-17,80+,d,0,0
2021-01-17,80+,f,1158,0
2021-01-17,80+,m,1323,0
2021-01-17,NA,d,0,0
2021-01-17,NA,f,0,0
2021-01-17,NA,m,0,0
2021-01-18,0-9,d,0,0
2021-01-18,0-9,f,0,0
2021-01-18,0-9,m,0,0
2021-01-18,10-19,d,0,0
2021-01-18,10-19,f,4,0
2021-01-18,10-19,m,2,0
2021-01-18,20-29,d,0,0
2021-01-18,20-29,f,161,0
2021-01-18,20-29,m,104,0
2021-01-18,30-39,d,0,0
2021-01-18,30-39,f,334,0
2021-01-18,30-39,m,304,0
2021-01-18,40-49,d,0,0
2021-01-18,40-49,f,269,0
2021-01-18,40-49,m,238,0
2021-01-18,50-59,d,0,0
2021-01-18,50-59,f,246,1
2021-01-18,50-59,m,274,0
2021-01-18,60-69,d,0,0
2021-01-18,60-69,f,273,1
2021-01-18,60-69,m,359,0
2021-01-18,70-79,d,0,0
2021-01-18,70-79,f,548,0
2021-01-18,70-79,m,785,0
2021-01-18,80+,d,0,0
2021-01-18,80+,f,1349,0
2021-01-18,80+,m,1557,0
2021-01-18,NA,d,0,0
2021-01-18,NA,f,0,0
2021-01-18,NA,m,0,0
2021-01-19,0-9,d,0,0
2021-01-19,0-9,f,0,0
2021-01-19,0-9,m,0,0
2021-01-19,10-19,d,0,0
2021-01-19,10-19,f,6,0
2021-01-19,10-19,m,5,0
2021-01-19,20-29,d,0,0
2021-01-19,20-29,f,237,0
2021-01-19,20-29,m,147,0
2021-01-19,30-39,d,0,0
2021-01-19,30-39,f,487,0
2021-01-19,30-39,m,395,0
2021-01-19,40-49,d,0,0
2021-01-19,40-49,f,432,0
2021-01-19,40-49,m,333,0
2021-01-19,50-59,d,0,0
2021-01-19,50-59,f,401,1
2021-01-19,50-59,m,394,0
2021-01-19,60-69,d,0,0
2021-01-19,60-69,f,401,1
2021-01-19,60-69,m,521,0
2021-01-19,70-79,d,0,0
2021-01-19,70-79,f,763,0
2021-01-19,70-79,m,1049,0
2021-01-19,80+,d,0,0
2021-01-19,80+,f,1742,0
2021-01-19,80+,m,1965,0
2021-01-19,NA,d,0,0
2021-01-19,NA,f,1,0
2021-01-19,NA,m,0,0
2021-01-20,0-9,d,0,0
2021-01-20,0-9,f,0,0
2021-01-20,0-9,m,0,0
2021-01-20,10-19,d,0,0
2021-01-20,10-19,f,12,0
2021-01-20,10-19,m,9,0
2021-01-20,20-29,d,0,0
2021-01-20,20-29,f,387,0
2021-01-20,20-29,m,200,0
2021-01-20,30-39,d,0,0
2021-01-20,30-39,f,693,0
2021-01-20,30-39,m,524,0
2021-01-20,40-49,d,0,0
2021-01-20,40-49,f,648,0
2021-01-20,40-49,m,498,0
2021-01-20,50-59,d,0,0
2021-01-20,50-59,f,682,1
2021-01-20,50-59,m,601,0
2021-01-20,60-69,d,0,0
2021-01-20,60-69,f,670,1
2021-01-20,60-69,m,769,0
2021-01-20,70-79,d,0,0
2021-01-20,70-79,f,1311,0
2021-01-20,70-79,m,1613,0
2021-01-20,80+,d,0,0
2021-01-20,80+,f,2749,0
2021-01-20,80+,m,2748,0
