date,ageclass,gender,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-01-11,70-79,d,25,0,0
2021-01-11,70-79,f,25716,242,0
2021-01-11,70-79,m,22845,355,0
2021-01-11,80+,d,15,0,0
2021-01-11,80+,f,32638,591,0
2021-01-11,80+,m,22835,633,0
2021-01-11,NA,d,0,0,0
2021-01-11,NA,f,32,0,0
2021-01-11,NA,m,15,0,0
2021-01-12,0-9,d,0,0,0
2021-01-12,0-9,f,13,0,0
2021-01-12,0-9,m,4,0,0
2021-01-12,10-19,d,1,0,0
2021-01-12,10-19,f,662,3,0
2021-01-12,10-19,m,300,1,0
2021-01-12,20-29,d,1,0,0
2021-01-12,20-29,f,5401,28,0
2021-01-12,20-29,m,2745,23,0
2021-01-12,30-39,d,4,0,0
2021-01-12,30-39,f,7966,57,0
2021-01-12,30-39,m,5263,71,0
2021-01-12,40-49,d,8,0,0
2021-01-12,40-49,f,10285,91,0
2021-01-12,40-49,m,7102,78,0
2021-01-12,50-59,d,9,0,0
2021-01-12,50-59,f,15381,88,1
2021-01-12,50-59,m,12312,130,0
2021-01-12,60-69,d,13,0,0
2021-01-12,60-69,f,17226,151,1
2021-01-12,60-69,m,15433,220,0
2021-01-12,70-79,d,25,0,0
2021-01-12,70-79,f,25716,289,0
2021-01-12,70-79,m,22845,441,0
2021-01-12,80+,d,15,0,0
2021-01-12,80+,f,32638,723,0
2021-01-12,80+,m,22835,791,0
2021-01-12,NA,d,0,0,0
2021-01-12,NA,f,32,0,0
2021-01-12,NA,m,15,0,0
2021-01-13,0-9,d,0,0,0
2021-01-13,0-9,f,13,0,0
2021-01-13,0-9,m,4,0,0
2021-01-13,10-19,d,1,0,0
2021-01-13,10-19,f,662,3,0
2021-01-13,10-19,m,300,1,0
2021-01-13,20-29,d,1,0,0
2021-01-13,20-29,f,5401,51,0
2021-01-13,20-29,m,2745,44,0
2021-01-13,30-39,d,4,0,0
2021-01-13,30-39,f,7966,97,0
2021-01-13,30-39,m,5263,120,0
2021-01-13,40-49,d,8,0,0
2021-01-13,40-49,f,10285,121,0
2021-01-13,40-49,m,7102,126,0
2021-01-13,50-59,d,9,0,0
2021-01-13,50-59,f,15381,111,1
2021-01-13,50-59,m,12312,160,0
2021-01-13,60-69,d,13,0,0
2021-01-13,60-69,f,17226,175,1
2021-01-13,60-69,m,15433,256,0
2021-01-13,70-79,d,25,0,0
2021-01-13,70-79,f,25716,343,0
2021-01-13,70-79,m,22845,512,0
2021-01-13,80+,d,15,0,0
2021-01-13,80+,f,32638,852,0
2021-01-13,80+,m,22835,978,0
2021-01-13,NA,d,0,0,0
2021-01-13,NA,f,32,0,0
2021-01-13,NA,m,15,0,0
2021-01-14,0-9,d,0,0,0
2021-01-14,0-9,f,13,0,0
2021-01-14,0-9,m,4,0,0
2021-01-14,10-19,d,1,0,0
2021-01-14,10-19,f,662,4,0
2021-01-14,10-19,m,300,2,0
2021-01-14,20-29,d,1,0,0
2021-01-14,20-29,f,5401,71,0
2021-01-14,20-29,m,2745,60,0
2021-01-14,30-39,d,4,0,0
2021-01-14,30-39,f,7966,147,0
2021-01-14,30-39,m,5263,167,0
2021-01-14,40-49,d,8,0,0
2021-01-14,40-49,f,10285,145,0
2021-01-14,40-49,m,7102,150,0
2021-01-14,50-59,d,9,0,0
2021-01-14,50-59,f,15381,132,1
2021-01-14,50-59,m,12312,177,0
2021-01-14,60-69,d,13,0,0
2021-01-14,60-69,f,17226,185,1
2021-01-14,60-69,m,15433,278,0
2021-01-14,70-79,d,25,0,0
2021-01-14,70-79,f,25716,407,0
2021-01-14,70-79,m,22845,592,0
2021-01-14,80+,d,15,0,0
2021-01-14,80+,f,32638,995,0
2021-01-14,80+,m,22835,1145,0
2021-01-14,NA,d,0,0,0
2021-01-14,NA,f,32,0,0
2021-01-14,NA,m,15,0,0
2021-01-15,0-9,d,0,0,0
2021-01-15,0-9,f,13,0,0
2021-01-15,0-9,m,4,0,0
2021-01-15,10-19,d,1,0,0
2021-01-15,10-19,f,662,4,0
2021-01-15,10-19,m,300,2,0
2021-01-15,20-29,d,1,0,0
2021-01-15,20-29,f,5401,98,0
2021-01-15,20-29,m,2745,67,0
2021-01-15,30-39,d,4,0,0
2021-01-15,30-39,f,7966,193,0
2021-01-15,30-39,m,5263,214,0
2021-01-15,40-49,d,8,0,0
2021-01-15,40-49,f,10285,171,0
2021-01-15,40-49,m,7102,173,0
2021-01-15,50-59,d,9,0,0
2021-01-15,50-59,f,15381,163,1
2021-01-15,50-59,m,12312,198,0
2021-01-15,60-69,d,13,0,0
2021-01-15,60-69,f,17226,204,1
2021-01-15,60-69,m,15433,294,0
2021-01-15,70-79,d,25,0,0
2021-01-15,70-79,f,25716,455,0
2021-01-15,70-79,m,22845,655,0
2021-01-15,80+,d,15,0,0
2021-01-15,80+,f,32638,1155,0
2021-01-15,80+,m,22835,1320,0
2021-01-15,NA,d,0,0,0
2021-01-15,NA,f,32,0,0
2021-01-15,NA,m,15,0,0
2021-01-16,0-9,d,0,0,0
2021-01-16,0-9,f,13,0,0
2021-01-16,0-9,m,4,0,0
2021-01-16,10-19,d,1,0,0
2021-01-16,10-19,f,662,4,0
2021-01-16,10-19,m,300,2,0
2021-01-16,20-29,d,1,0,0
2021-01-16,20-29,f,5401,144,0
2021-01-16,20-29,m,2745,90,0
2021-01-16,30-39,d,4,0,0
2021-01-16,30-39,f,7966,294,0
2021-01-16,30-39,m,5263,268,0
2021-01-16,40-49,d,8,0,0
2021-01-16,40-49,f,10285,218,0
2021-01-16,40-49,m,7102,199,0
2021-01-16,50-59,d,9,0,0
2021-01-16,50-59,f,15381,196,1
2021-01-16,50-59,m,12312,226,0
2021-01-16,60-69,d,13,0,0
2021-01-16,60-69,f,17226,223,1
2021-01-16,60-69,m,15433,306,0
2021-01-16,70-79,d,25,0,0
2021-01-16,70-79,f,25716,457,0
2021-01-16,70-79,m,22845,658,0
2021-01-16,80+,d,15,0,0
2021-01-16,80+,f,32638,1158,0
2021-01-16,80+,m,22835,1323,0
2021-01-16,NA,d,0,0,0
2021-01-16,NA,f,32,0,0
2021-01-16,NA,m,15,0,0
2021-01-17,0-9,d,0,0,0
2021-01-17,0-9,f,13,0,0
2021-01-17,0-9,m,4,0,0
2021-01-17,10-19,d,1,0,0
2021-01-17,10-19,f,662,4,0
2021-01-17,10-19,m,300,2,0
2021-01-17,20-29,d,1,0,0
2021-01-17,20-29,f,5401,144,0
2021-01-17,20-29,m,2745,90,0
2021-01-17,30-39,d,4,0,0
2021-01-17,30-39,f,7966,294,0
2021-01-17,30-39,m,5263,268,0
2021-01-17,40-49,d,8,0,0
2021-01-17,40-49,f,10285,218,0
2021-01-17,40-49,m,7102,199,0
2021-01-17,50-59,d,9,0,0
2021-01-17,50-59,f,15381,196,1
2021-01-17,50-59,m,12312,226,0
2021-01-17,60-69,d,13,0,0
2021-01-17,60-69,f,17226,223,1
2021-01-17,60-69,m,15433,306,0
2021-01-17,70-79,d,25,0,0
2021-01-17,70-79,f,25716,458,0
2021-01-17,70-79,m,22845,658,0
2021-01-17,80+,d,15,0,0
2021-01-17,80+,f,32638,1158,0
2021-01-17,80+,m,22835,1323,0
