date,vaccgroup_zh,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-01-27,G,32324,5219,5
2021-01-27,H,605,46,0
2021-01-27,I,688,38,0
2021-01-27,K,692,39,0
2021-01-27,L,452,22,0
2021-01-27,M,1627,412,0
2021-01-27,N,970,215,0
2021-01-27,O,30,1,0
2021-01-27,P,0,0,0
2021-01-27,Q,0,0,0
2021-01-27,R,2,0,0
2021-01-27,S,0,0,0
2021-01-27,T,0,0,0
2021-01-27,NA,47,4,0
2021-01-28,A,85610,22490,245
2021-01-28,B,6615,1189,205
2021-01-28,C,35915,4766,158
2021-01-28,D,23388,2089,1
2021-01-28,E,10886,1036,1
2021-01-28,F,4399,1966,4
2021-01-28,G,32324,6390,6
2021-01-28,H,605,73,0
2021-01-28,I,688,69,0
2021-01-28,K,692,51,0
2021-01-28,L,452,28,0
2021-01-28,M,1627,427,1
2021-01-28,N,970,229,0
2021-01-28,O,30,2,0
2021-01-28,P,0,0,0
2021-01-28,Q,0,0,0
2021-01-28,R,2,1,0
2021-01-28,S,0,0,0
2021-01-28,T,0,0,0
2021-01-28,NA,47,6,0
2021-01-29,A,85610,25219,344
2021-01-29,B,6615,1237,255
2021-01-29,C,35915,5443,215
2021-01-29,D,23388,2402,3
2021-01-29,E,10886,1157,2
2021-01-29,F,4399,1982,5
2021-01-29,G,32324,7368,6
2021-01-29,H,605,129,0
2021-01-29,I,688,126,0
2021-01-29,K,692,59,0
2021-01-29,L,452,35,0
2021-01-29,M,1627,441,1
2021-01-29,N,970,238,4
2021-01-29,O,30,3,0
2021-01-29,P,0,0,0
2021-01-29,Q,0,0,0
2021-01-29,R,2,1,0
2021-01-29,S,0,0,0
2021-01-29,T,0,0,0
2021-01-29,NA,47,8,0
2021-01-30,A,85610,25950,512
2021-01-30,B,6615,1239,298
2021-01-30,C,35915,5650,256
2021-01-30,D,23388,2501,4
2021-01-30,E,10886,1198,2
2021-01-30,F,4399,2001,5
2021-01-30,G,32324,7437,11
2021-01-30,H,605,130,0
2021-01-30,I,688,126,0
2021-01-30,K,692,59,0
2021-01-30,L,452,35,0
2021-01-30,M,1627,442,1
2021-01-30,N,970,238,4
2021-01-30,O,30,3,0
2021-01-30,P,0,0,0
2021-01-30,Q,0,0,0
2021-01-30,R,2,1,0
2021-01-30,S,0,0,0
2021-01-30,T,0,0,0
2021-01-30,NA,47,8,0
2021-01-31,A,85610,25976,512
2021-01-31,B,6615,1239,298
2021-01-31,C,35915,5666,256
2021-01-31,D,23388,2505,4
2021-01-31,E,10886,1203,2
2021-01-31,F,4399,2001,5
2021-01-31,G,32324,7448,11
2021-01-31,H,605,130,0
2021-01-31,I,688,126,0
2021-01-31,K,692,59,0
2021-01-31,L,452,35,0
2021-01-31,M,1627,442,1
2021-01-31,N,970,238,4
2021-01-31,O,30,3,0
2021-01-31,P,0,0,0
2021-01-31,Q,0,0,0
2021-01-31,R,2,1,0
2021-01-31,S,0,0,0
2021-01-31,T,0,0,0
2021-01-31,NA,47,8,0
2021-02-01,A,85610,27268,629
2021-02-01,B,6615,1243,361
2021-02-01,C,35915,5932,315
2021-02-01,D,23388,2639,6
2021-02-01,E,10886,1272,4
2021-02-01,F,4399,2004,5
2021-02-01,G,32324,7575,14
2021-02-01,H,605,150,0
2021-02-01,I,688,157,0
2021-02-01,K,692,72,0
2021-02-01,L,452,38,0
2021-02-01,M,1627,450,2
2021-02-01,N,970,248,6
2021-02-01,O,30,3,0
2021-02-01,P,0,0,0
2021-02-01,Q,0,0,0
2021-02-01,R,2,1,0
2021-02-01,S,0,0,0
2021-02-01,T,0,0,0
2021-02-01,NA,47,8,0
2021-02-02,A,85610,28590,810
2021-02-02,B,6615,1245,399
2021-02-02,C,35915,6238,388
2021-02-02,D,23388,2858,9
2021-02-02,E,10886,1355,6
2021-02-02,F,4399,2007,10
2021-02-02,G,32324,7678,16
2021-02-02,H,605,150,0
2021-02-02,I,688,157,0
2021-02-02,K,692,93,0
2021-02-02,L,452,76,0
2021-02-02,M,1627,456,5
2021-02-02,N,970,256,9
2021-02-02,O,30,3,0
2021-02-02,P,0,0,0
2021-02-02,Q,0,0,0
2021-02-02,R,2,1,0
2021-02-02,S,0,0,0
2021-02-02,T,0,0,0
2021-02-02,NA,47,8,0
2021-02-03,A,85610,29924,1086
2021-02-03,B,6615,1245,430
2021-02-03,C,35915,6584,437
2021-02-03,D,23388,3023,12
2021-02-03,E,10886,1419,13
2021-02-03,F,4399,2008,25
2021-02-03,G,32324,7788,43
2021-02-03,H,605,151,0
2021-02-03,I,688,157,0
2021-02-03,K,692,93,0
2021-02-03,L,452,78,0
2021-02-03,M,1627,457,9
2021-02-03,N,970,258,12
2021-02-03,O,30,3,0
2021-02-03,P,0,0,0
2021-02-03,Q,0,0,0
2021-02-03,R,2,1,0
2021-02-03,S,0,0,0
2021-02-03,T,0,0,0
2021-02-03,NA,47,9,0
2021-02-04,A,85610,30988,1373
2021-02-04,B,6615,1248,437
2021-02-04,C,35915,6851,457
2021-02-04,D,23388,3293,13
2021-02-04,E,10886,1634,14
2021-02-04,F,4399,2008,38
2021-02-04,G,32324,7952,43
2021-02-04,H,605,151,0
2021-02-04,I,688,157,0
2021-02-04,K,692,93,0
2021-02-04,L,452,78,0
2021-02-04,M,1627,461,14
2021-02-04,N,970,264,13
2021-02-04,O,30,5,0
2021-02-04,P,0,0,0
2021-02-04,Q,0,0,0
2021-02-04,R,2,1,0
2021-02-04,S,0,0,0
2021-02-04,T,0,0,0
2021-02-04,NA,47,10,0
2021-02-05,A,85610,32144,1644
2021-02-05,B,6615,1250,445
2021-02-05,C,35915,7210,485
2021-02-05,D,23388,3548,14
2021-02-05,E,10886,1781,14
2021-02-05,F,4399,2058,67
2021-02-05,G,32324,8194,43
2021-02-05,H,605,159,0
2021-02-05,I,688,161,0
2021-02-05,K,692,95,0
2021-02-05,L,452,78,0
2021-02-05,M,1627,472,15
2021-02-05,N,970,271,15
